log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
119,16 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,partial,<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,0.9841,<*> tree receiver 1 in re-synch state event(s) (dcr <*> detected over <*> seconds,0.8873,1 torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,0.5117,50.25,162
120,rts: kernel terminated for reason 1004,exact,rts: kernel terminated for reason <*>,0.9993,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",0.8669,rts internal error,0.7234,49.21,162
121,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",exact,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> PSR<*> PSR<*> PRXF<*> PIXF<*>",0.9981,rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 <*>,0.7005,"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or <*> (softheader=003b005b <*>",0.6234,70.23,162
122,"CE sym 29, at 0x1b719940, mask 0x02",partial,CE sym <*> at <*> mask <*>,0.9512,"CE sym 30, at 0x1bd2b700, mask <*>",0.9191,"CE sym 27, at <*> mask <*>",0.9085,73.24,162
123,"CE sym 27, at 0x1b70b860, mask 0x80",exact,"CE sym 27, at <*> mask <*>",1.0,CE sym <*> at <*> mask <*>,0.9212,"CE sym 30, at 0x1bd2b700, mask <*>",0.91,74.93,162
124,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied",exact,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied",1.0,"ciod: Error loading /g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts: invalid or missing program image, Permission denied",0.801,"ciod: Error loading <*> invalid or missing program image, No such file or directory",0.7247,82.34,162
125,"CE sym 16, at 0x18fa5d40, mask 0x80",partial,"CE sym 16, at <*> mask <*>",0.9687,"CE sym 5, at 0x0e37bbe0, mask <*>",0.9214,"CE sym 6, at <*> mask <*>",0.9143,48.88,162
126,"4 ddr errors(s) detected and corrected on rank 0, symbol 24, bit 1",partial,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",0.9862,"1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",0.9636,"<*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",0.8861,49.54,162
127,instruction cache parity error corrected,exact,instruction cache parity error corrected,1.0,data cache search parity error detected. attempting to correct,0.6844,guaranteed instruction cache block touch.0,0.5029,63.67,162
128,"CE sym 30, at 0x1bd2b700, mask 0x04",exact,"CE sym 30, at 0x1bd2b700, mask <*>",1.0,CE sym <*> at <*> mask <*>,0.9145,"CE sym 27, at <*> mask <*>",0.91,79.2,162
129,"ciod: Error loading /g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts: invalid or missing program image, Permission denied",partial,"ciod: Error loading /g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts: invalid or missing program image, Permission denied",0.9126,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied",0.8096,"ciod: Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory",0.7253,75.64,162
130,"ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDGbglV: invalid or missing program image, No such file or directory",partial,"ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory",0.9404,"ciod: Error loading /bgl/apps/SWL/stability/NEWS05/news05_DD: invalid or missing program image, Permission denied",0.6274,"ciod: Error loading <*> invalid or missing program image, No such file or directory",0.6268,74.86,162
131,"ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDGbglV: invalid or missing program image, No such file or directory",partial,"ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory",0.9527,"ciod: Error loading <*> invalid or missing program image, No such file or directory",0.6294,"ciod: Error loading /bgl/apps/SWL/stability/NEWS05/news05_DD: invalid or missing program image, Permission denied",0.6256,50.31,162
132,iar 00106210 dear 0244c1dc,partial,iar <*> dear <*>,0.9626,lr:00004ed0 <*>,0.6054,data address: <*>,0.5074,48.81,162
133,640404 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9485,<*> double-hummer alignment exceptions,0.5319,floating point instr. enabled.....1,0.5297,48.35,162
134,640404 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9509,<*> double-hummer alignment exceptions,0.5319,floating point instr. enabled.....1,0.5297,48.35,162
135,iar 00106210 dear 0244c1dc,partial,iar <*> dear <*>,0.9628,lr:00004ed0 <*>,0.6054,data address: <*>,0.5074,49.11,162
136,iar 00106210 dear 0244c20c,partial,iar <*> dear <*>,0.9843,lr:00004ed0 <*>,0.6269,data address: <*>,0.5121,48.44,162
137,iar 00106228 dear 0244c1ec,partial,iar <*> dear <*>,0.9802,lr:00004ed0 <*>,0.6304,instruction address: <*>,0.4914,48.84,162
138,iar 00106210 dear 0244c20c,partial,iar <*> dear <*>,0.9844,lr:00004ed0 <*>,0.6269,data address: <*>,0.5121,48.41,162
139,iar 00106210 dear 0244c20c,partial,iar <*> dear <*>,0.9845,lr:00004ed0 <*>,0.6269,data address: <*>,0.5121,49.43,162
140,iar 00106228 dear 0244c1ec,partial,iar <*> dear <*>,0.9804,lr:00004ed0 <*>,0.6304,instruction address: <*>,0.4914,48.45,162
141,iar 00106228 dear 0244c1ec,partial,iar <*> dear <*>,0.9805,lr:00004ed0 <*>,0.6304,instruction address: <*>,0.4914,47.9,162
142,640404 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9531,<*> double-hummer alignment exceptions,0.5319,floating point instr. enabled.....1,0.5297,48.13,162
143,iar 00106228 dear 0244c21c,partial,iar <*> dear <*>,0.9882,lr:00004ed0 <*>,0.632,data address: <*>,0.4735,48.15,162
144,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.9622,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,48.05,162
145,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.9625,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,48.14,162
146,iar 001061dc dear 0244c25c,partial,iar <*> dear <*>,0.9567,lr:00004ed0 <*>,0.5954,data address: <*>,0.4809,48.24,162
147,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.963,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,48.04,162
148,iar 00106228 dear 0244c1ec,partial,iar <*> dear <*>,0.9807,lr:00004ed0 <*>,0.6304,instruction address: <*>,0.4914,47.98,162
149,iar 00106210 dear 0244c20c,partial,iar <*> dear <*>,0.9848,lr:00004ed0 <*>,0.6269,data address: <*>,0.5121,48.28,162
150,iar 00106228 dear 0244c1ec,partial,iar <*> dear <*>,0.9808,lr:00004ed0 <*>,0.6304,instruction address: <*>,0.4914,48.22,162
151,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.9632,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,48.19,162
152,iar 00105ea0 dear 0244c28c,partial,iar <*> dear <*>,0.9798,lr:00004ed0 <*>,0.6335,data address: <*>,0.5338,48.32,162
153,iar 00105e94 dear 02f5883c,partial,iar <*> dear <*>,0.977,lr:00004ed0 <*>,0.6346,data address: <*>,0.4796,48.16,162
154,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.9634,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,49.27,162
155,iar 001061dc dear 0244c28c,partial,iar <*> dear <*>,0.9548,lr:00004ed0 <*>,0.6072,data address: <*>,0.508,48.2,162
156,640764 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9524,<*> double-hummer alignment exceptions,0.5502,floating point instr. enabled.....1,0.5282,48.12,162
157,640404 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9568,<*> double-hummer alignment exceptions,0.5319,floating point instr. enabled.....1,0.5297,48.46,162
158,640404 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9586,<*> double-hummer alignment exceptions,0.5319,floating point instr. enabled.....1,0.5297,49.09,162
159,iar 00106210 dear 0244c20c,partial,iar <*> dear <*>,0.985,lr:00004ed0 <*>,0.6269,data address: <*>,0.5121,48.76,162
160,iar 00106210 dear 0244c1dc,partial,iar <*> dear <*>,0.9648,lr:00004ed0 <*>,0.6054,data address: <*>,0.5074,48.5,162
161,iar 00106228 dear 0244c21c,partial,iar <*> dear <*>,0.9886,lr:00004ed0 <*>,0.632,data address: <*>,0.4735,48.4,162
162,iar 00106210 dear 0244c1dc,partial,iar <*> dear <*>,0.9651,lr:00004ed0 <*>,0.6054,data address: <*>,0.5074,48.18,162
163,iar 001061dc dear 0244c25c,partial,iar <*> dear <*>,0.9583,lr:00004ed0 <*>,0.5954,data address: <*>,0.4809,48.28,162
164,iar 001061dc dear 0244c22c,partial,iar <*> dear <*>,0.9646,lr:00004ed0 <*>,0.5978,data address: <*>,0.4877,79.58,162
165,iar 00106228 dear 0244c21c,partial,iar <*> dear <*>,0.9887,lr:00004ed0 <*>,0.632,data address: <*>,0.4735,67.44,162
166,iar 001061dc dear 0244c28c,partial,iar <*> dear <*>,0.956,lr:00004ed0 <*>,0.6072,data address: <*>,0.508,48.13,162
167,iar 001061dc dear 0244c28c,partial,iar <*> dear <*>,0.9563,lr:00004ed0 <*>,0.6072,data address: <*>,0.508,50.25,162
168,iar 00106210 dear 0244c23c,partial,iar <*> dear <*>,0.9835,lr:00004ed0 <*>,0.6117,data address: <*>,0.4854,85.43,162
169,iar 00106210 dear 0244c23c,partial,iar <*> dear <*>,0.9836,lr:00004ed0 <*>,0.6117,data address: <*>,0.4854,72.1,162
170,iar 00106210 dear 0244c26c,partial,iar <*> dear <*>,0.9883,lr:00004ed0 <*>,0.6337,data address: <*>,0.4991,74.77,162
171,iar 00106228 dear 0244c24c,partial,iar <*> dear <*>,0.9839,lr:00004ed0 <*>,0.6363,data address: <*>,0.4735,86.15,162
172,iar 00106228 dear 0244c27c,partial,iar <*> dear <*>,0.9831,lr:00004ed0 <*>,0.6268,data address: <*>,0.4563,73.38,162
173,iar 00106228 dear 0244c27c,partial,iar <*> dear <*>,0.9832,lr:00004ed0 <*>,0.6268,data address: <*>,0.4563,68.5,162
174,iar 00106228 dear 0244c27c,partial,iar <*> dear <*>,0.9833,lr:00004ed0 <*>,0.6268,data address: <*>,0.4563,63.6,162
175,iar 00106568 dear 02494bbc,partial,iar <*> dear <*>,0.9843,lr:00004ed0 <*>,0.6433,data address: <*>,0.4778,56.93,162
176,487476 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9628,<*> double-hummer alignment exceptions,0.5911,floating point instr. enabled.....1,0.5368,49.76,162
177,487476 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9643,<*> double-hummer alignment exceptions,0.5911,floating point instr. enabled.....1,0.5368,48.07,162
178,iar 00106580 dear 02494bcc,partial,iar <*> dear <*>,0.9716,lr:00004ed0 <*>,0.634,data address: <*>,0.5173,48.04,162
179,iar 00106568 dear 02494bbc,partial,iar <*> dear <*>,0.9845,lr:00004ed0 <*>,0.6433,data address: <*>,0.4778,48.28,162
180,iar 00106580 dear 02494bcc,partial,iar <*> dear <*>,0.9718,lr:00004ed0 <*>,0.634,data address: <*>,0.5173,48.23,162
181,iar 00106534 dear 02494c0c,partial,iar <*> dear <*>,0.9751,lr:00004ed0 <*>,0.643,data address: <*>,0.4939,48.94,162
182,iar 00106534 dear 02494c0c,partial,iar <*> dear <*>,0.9752,lr:00004ed0 <*>,0.643,data address: <*>,0.4939,48.08,162
183,iar 00106580 dear 02494bfc,partial,iar <*> dear <*>,0.9672,lr:00004ed0 <*>,0.6341,data address: <*>,0.502,48.11,162
184,iar 00106568 dear 02494bec,partial,iar <*> dear <*>,0.9723,lr:00004ed0 <*>,0.6324,data address: <*>,0.4698,48.11,162
185,iar 00106568 dear 02494bec,partial,iar <*> dear <*>,0.9724,lr:00004ed0 <*>,0.6324,data address: <*>,0.4698,48.06,162
186,iar 00106534 dear 02494c3c,partial,iar <*> dear <*>,0.9762,lr:00004ed0 <*>,0.6339,data address: <*>,0.4728,48.09,162
187,iar 00106580 dear 02494bfc,partial,iar <*> dear <*>,0.9677,lr:00004ed0 <*>,0.6341,data address: <*>,0.502,48.15,162
188,iar 00106534 dear 02494c3c,partial,iar <*> dear <*>,0.9764,lr:00004ed0 <*>,0.6339,data address: <*>,0.4728,48.17,162
189,iar 00106534 dear 02494c3c,partial,iar <*> dear <*>,0.9765,lr:00004ed0 <*>,0.6339,data address: <*>,0.4728,48.19,162
190,iar 00106580 dear 02494c2c,partial,iar <*> dear <*>,0.9774,lr:00004ed0 <*>,0.6521,data address: <*>,0.5234,49.65,162
191,iar 00106580 dear 02494c2c,partial,iar <*> dear <*>,0.9776,lr:00004ed0 <*>,0.6521,data address: <*>,0.5234,48.59,162
192,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9761,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.17,162
193,iar 00106568 dear 045e140c,partial,iar <*> dear <*>,0.9728,lr:00004ed0 <*>,0.6395,instruction address: <*>,0.5103,48.26,162
194,iar 00106580 dear 045e141c,partial,iar <*> dear <*>,0.9646,lr:00004ed0 <*>,0.6217,data address: <*>,0.5165,48.91,162
195,iar 00106580 dear 045e141c,partial,iar <*> dear <*>,0.9648,lr:00004ed0 <*>,0.6217,data address: <*>,0.5165,48.25,162
196,iar 00106580 dear 045e141c,partial,iar <*> dear <*>,0.965,lr:00004ed0 <*>,0.6217,data address: <*>,0.5165,48.38,162
197,iar 00106534 dear 045e145c,partial,iar <*> dear <*>,0.9724,lr:00004ed0 <*>,0.6272,data address: <*>,0.48,48.1,162
198,iar 00106568 dear 045e147c,partial,iar <*> dear <*>,0.9797,lr:00004ed0 <*>,0.6343,instruction address: <*>,0.4816,48.16,162
199,iar 00106580 dear 045e148c,partial,iar <*> dear <*>,0.9668,lr:00004ed0 <*>,0.6341,data address: <*>,0.52,48.08,162
200,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.977,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.98,162
201,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9779,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.24,162
202,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9787,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,50.01,162
203,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9795,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.22,162
204,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9803,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.91,162
205,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.981,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.9,162
206,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9816,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.95,162
207,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9823,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.96,162
208,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9829,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.62,162
209,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9834,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.96,162
210,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.984,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.19,162
211,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9845,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,47.99,162
212,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.985,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,48.12,162
213,2354412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9855,<*> double-hummer alignment exceptions,0.6066,floating point instr. enabled.....1,0.5464,49.38,162
214,62500 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9388,<*> double-hummer alignment exceptions,0.5439,floating point instr. enabled.....1,0.5299,48.87,162
215,62500 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9406,<*> double-hummer alignment exceptions,0.5439,floating point instr. enabled.....1,0.5299,48.5,162
216,62500 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9424,<*> double-hummer alignment exceptions,0.5439,floating point instr. enabled.....1,0.5299,47.95,162
217,iar 00106570 dear 0245a10c,partial,iar <*> dear <*>,0.9717,lr:00004ed0 <*>,0.6443,data address: <*>,0.5138,48.39,162
218,iar 001061fc dear 02f6676c,partial,iar <*> dear <*>,0.9612,lr:00004ed0 <*>,0.6263,data address: <*>,0.4871,49.31,162
219,iar 00106588 dear 0245a17c,partial,iar <*> dear <*>,0.972,lr:00004ed0 <*>,0.6413,data address: <*>,0.4723,48.47,162
220,iar 0010662c dear 0245ccfc,partial,iar <*> dear <*>,0.9591,lr:00004ed0 <*>,0.639,data address: <*>,0.4801,48.11,162
221,iar 00106bd8 dear 0245ce0c,partial,iar <*> dear <*>,0.9762,lr:00004ed0 <*>,0.6354,data address: <*>,0.5531,48.34,162
222,iar 00106834 dear 0245ccfc,partial,iar <*> dear <*>,0.9644,lr:00004ed0 <*>,0.6393,data address: <*>,0.47,48.22,162
223,iar 00106bd8 dear 0245cd8c,partial,iar <*> dear <*>,0.9742,lr:00004ed0 <*>,0.6384,data address: <*>,0.5311,48.39,162
224,iar 0010682c dear 0245ccfc,partial,iar <*> dear <*>,0.9665,lr:00004ed0 <*>,0.6573,data address: <*>,0.5047,48.31,162
225,iar 00106b8c dear 0245ce8c,partial,iar <*> dear <*>,0.9707,lr:00004ed0 <*>,0.6458,data address: <*>,0.5415,48.24,162
226,iar 00106bc0 dear 0245cd7c,partial,iar <*> dear <*>,0.9698,lr:00004ed0 <*>,0.636,data address: <*>,0.5496,48.42,162
227,iar 00106bd8 dear 0245cd9c,partial,iar <*> dear <*>,0.978,lr:00004ed0 <*>,0.6368,data address: <*>,0.5133,48.37,162
228,iar 00106bd8 dear 0245ceec,partial,iar <*> dear <*>,0.9656,lr:00004ed0 <*>,0.6161,instruction address: <*>,0.543,48.24,162
229,iar 0010681c dear 02f692fc,partial,iar <*> dear <*>,0.9741,lr:00004ed0 <*>,0.6412,data address: <*>,0.5,48.21,162
230,iar 00106b8c dear 0245cf5c,partial,iar <*> dear <*>,0.9669,lr:00004ed0 <*>,0.633,data address: <*>,0.5281,48.11,162
231,iar 00106bc0 dear 0245cdec,partial,iar <*> dear <*>,0.9475,lr:00004ed0 <*>,0.6237,instruction address: <*>,0.5891,48.21,162
232,iar 00106600 dear 0245ccfc,partial,iar <*> dear <*>,0.9601,lr:00004ed0 <*>,0.6357,data address: <*>,0.5158,47.93,162
233,iar 00106bd8 dear 0245cf0c,partial,iar <*> dear <*>,0.9758,lr:00004ed0 <*>,0.6382,data address: <*>,0.5441,48.22,162
234,iar 00106834 dear 0245cd0c,partial,iar <*> dear <*>,0.9806,lr:00004ed0 <*>,0.6555,data address: <*>,0.5095,48.48,162
235,iar 00106bd8 dear 0245cf3c,partial,iar <*> dear <*>,0.9761,lr:00004ed0 <*>,0.6276,data address: <*>,0.5168,48.62,162
236,iar 0010686c dear 02f6930c,partial,iar <*> dear <*>,0.9761,lr:00004ed0 <*>,0.6605,data address: <*>,0.5146,49.38,162
237,iar 0010686c dear 02f6951c,partial,iar <*> dear <*>,0.9765,lr:00004ed0 <*>,0.6524,instruction address: <*>,0.5148,48.65,162
238,45684 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9642,<*> double-hummer alignment exceptions,0.5904,floating point instr. enabled.....1,0.539,48.52,162
239,iar 00106704 dear 0245b80c,partial,iar <*> dear <*>,0.9836,lr:00004ed0 <*>,0.6376,data address: <*>,0.5165,48.77,162
240,iar 0010639c dear 0245b71c,partial,iar <*> dear <*>,0.9827,lr:00004ed0 <*>,0.6364,data address: <*>,0.4855,48.16,162
241,iar 00106704 dear 0245b83c,partial,iar <*> dear <*>,0.9884,lr:00004ed0 <*>,0.6414,data address: <*>,0.4966,48.03,162
242,iar 00106704 dear 0245d57c,partial,iar <*> dear <*>,0.9853,lr:00004ed0 <*>,0.6309,data address: <*>,0.4964,48.09,162
243,iar 001063a0 dear 02f67e4c,partial,iar <*> dear <*>,0.9571,lr:00004ed0 <*>,0.627,data address: <*>,0.5078,48.1,162
244,iar 001064fc dear 0245b64c,partial,iar <*> dear <*>,0.95,lr:00004ed0 <*>,0.6247,instruction address: <*>,0.5239,48.35,162
245,iar 0010671c dear 0245b72c,partial,iar <*> dear <*>,0.98,lr:00004ed0 <*>,0.6345,data address: <*>,0.5064,48.13,162
246,16604010 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.8752,<*> double-hummer alignment exceptions,0.552,floating point instr. enabled.....1,0.5044,48.0,162
247,16469355 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9674,<*> double-hummer alignment exceptions,0.598,floating point instr. enabled.....1,0.5314,47.92,162
248,iar 00106390 dear 02f67cfc,partial,iar <*> dear <*>,0.9638,lr:00004ed0 <*>,0.6489,data address: <*>,0.5014,48.01,162
249,iar 00106704 dear 0245b6bc,partial,iar <*> dear <*>,0.9843,lr:00004ed0 <*>,0.6377,data address: <*>,0.5051,48.14,162
250,iar 00106168 dear 0245b64c,partial,iar <*> dear <*>,0.9845,lr:00004ed0 <*>,0.6516,instruction address: <*>,0.5196,48.01,162
251,iar 0010635c dear 0245b62c,partial,iar <*> dear <*>,0.9679,lr:00004ed0 <*>,0.6618,data address: <*>,0.5144,48.53,162
252,iar 00106704 dear 0245b77c,partial,iar <*> dear <*>,0.9835,lr:00004ed0 <*>,0.6337,data address: <*>,0.4789,48.14,162
253,iar 001064fc dear 0245b64c,partial,iar <*> dear <*>,0.9502,lr:00004ed0 <*>,0.6247,instruction address: <*>,0.5239,48.12,162
254,16736445 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9712,<*> double-hummer alignment exceptions,0.5755,floating point instr. enabled.....1,0.5332,48.35,162
255,iar 001061cc dear 02f6667c,partial,iar <*> dear <*>,0.9675,lr:00004ed0 <*>,0.6348,<*> dbsr=0x00000000 <*>,0.5106,49.14,162
256,iar 00105fd4 dear 0245a09c,partial,iar <*> dear <*>,0.9637,lr:00004ed0 <*>,0.6362,data address: <*>,0.5114,48.37,162
257,iar 00105fd4 dear 0245a09c,partial,iar <*> dear <*>,0.9639,lr:00004ed0 <*>,0.6362,data address: <*>,0.5114,48.94,162
258,iar 001061e4 dear 0245a09c,partial,iar <*> dear <*>,0.9804,lr:00004ed0 <*>,0.6282,data address: <*>,0.4985,48.24,162
259,iar 001061ec dear 02f6668c,partial,iar <*> dear <*>,0.9731,lr:00004ed0 <*>,0.6327,instruction address: <*>,0.533,48.51,162
260,iar 001061ec dear 02f6668c,partial,iar <*> dear <*>,0.9732,lr:00004ed0 <*>,0.6327,instruction address: <*>,0.533,48.09,162
261,74350836 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9248,<*> double-hummer alignment exceptions,0.55,floating point instr. enabled.....1,0.5185,48.0,162
262,iar 0010650c dear 0246a95c,partial,iar <*> dear <*>,0.9784,lr:00004ed0 <*>,0.6466,data address: <*>,0.5127,48.2,162
263,iar 00106988 dear 02f7bd6c,partial,iar <*> dear <*>,0.9816,lr:00004ed0 <*>,0.6433,data address: <*>,0.5024,48.25,162
264,iar 00106cf8 dear 0246f9fc,partial,iar <*> dear <*>,0.958,lr:00004ed0 <*>,0.6322,instruction address: <*>,0.4782,48.43,162
265,54004554 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9209,<*> double-hummer alignment exceptions,0.5644,floating point instr. enabled.....1,0.5379,47.92,162
266,iar 001069a8 dear 02f7bd7c,partial,iar <*> dear <*>,0.9752,lr:00004ed0 <*>,0.6141,data address: <*>,0.4809,48.41,162
267,iar 001066ac dear 0252524c,partial,iar <*> dear <*>,0.9561,lr:00004ed0 <*>,0.6122,data address: <*>,0.4475,48.16,162
268,iar 001066c4 dear 0252528c,partial,iar <*> dear <*>,0.9625,lr:00004ed0 <*>,0.6271,data address: <*>,0.4365,48.22,162
269,iar 001066c4 dear 025251fc,partial,iar <*> dear <*>,0.9665,lr:00004ed0 <*>,0.6192,instruction address: <*>,0.4456,48.23,162
270,iar 00106678 dear 0252523c,partial,iar <*> dear <*>,0.9631,lr:00004ed0 <*>,0.6264,data address: <*>,0.4361,48.19,162
271,iar 001007b8 dear 065b4c7c,partial,iar <*> dear <*>,0.9624,lr:00004ed0 <*>,0.6036,data address: <*>,0.4514,48.37,162
272,iar 001007a8 dear 065b4cac,partial,iar <*> dear <*>,0.9458,lr:00004ed0 <*>,0.5966,data address: <*>,0.4463,48.11,162
273,ciod: generated 128 core files for program /g/g20/valone1/SPaSM-shock/SPaSM_mpi,partial,ciod: generated 128 core files for program /g/g20/valone1/SPaSM-shock/SPaSM_mpi,0.9755,ciod: generated 128 core files for program /g/g24/germann2/SPaSM_mini/MEAM/r13,0.8308,ciod: generated 64 core files for program IMB-MPI1.2MB_perf,0.6539,48.82,162
274,iar 001066ac dear 0252523c,partial,iar <*> dear <*>,0.9564,lr:00004ed0 <*>,0.6048,data address: <*>,0.4421,48.31,162
275,iar 001066c4 dear 0252527c,partial,iar <*> dear <*>,0.9625,lr:00004ed0 <*>,0.6227,data address: <*>,0.4303,48.5,162
276,iar 001066c4 dear 0252523c,partial,iar <*> dear <*>,0.9594,lr:00004ed0 <*>,0.6156,data address: <*>,0.4274,48.66,162
277,iar 001066ac dear 025252bc,partial,iar <*> dear <*>,0.9425,lr:00004ed0 <*>,0.5899,instruction address: <*>,0.4549,48.05,162
278,iar 001066c4 dear 0252529c,partial,iar <*> dear <*>,0.9601,lr:00004ed0 <*>,0.629,data address: <*>,0.4354,48.65,162
279,2667384 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9633,<*> double-hummer alignment exceptions,0.5918,floating point instr. enabled.....1,0.5464,47.95,162
280,iar 00106570 dear 0245a5bc,partial,iar <*> dear <*>,0.9734,lr:00004ed0 <*>,0.6146,data address: <*>,0.4992,48.01,162
281,iar 00106570 dear 0245a5ec,partial,iar <*> dear <*>,0.9682,lr:00004ed0 <*>,0.614,data address: <*>,0.502,47.97,162
282,iar 0010653c dear 0245a63c,partial,iar <*> dear <*>,0.978,lr:00004ed0 <*>,0.626,data address: <*>,0.483,47.84,162
283,407736 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9553,<*> double-hummer alignment exceptions,0.5799,floating point instr. enabled.....1,0.5055,47.71,162
284,428412 floating point alignment exceptions,partial,<*> floating point alignment exceptions,0.9595,<*> double-hummer alignment exceptions,0.5739,floating point instr. enabled.....1,0.5478,47.86,162
